"_IDOBJ","NOM_COMPLET","LIBTYPE","COMMUNE","ADRESSE","TELEPHONE","SITE_WEB","TWITTER","CODE_POSTAL","location","PRESENTATION","CAPACITE_VOITURE","CAPACITE_PMR","CAPACITE_VEHICULE_ELECTRIQUE","CAPACITE_VELO","SERVICE_VELO","STATIONNEMENT_VELO","STATIONNEMENT_VELO_SECURISE","AUTRES_SERVICE_MOB_PROX","SERVICES","MOYEN_PAIEMENT","CONDITIONS_D_ACCES","EXPLOITANT"
"3628","P+R busway Gréneraie","Libre","Nantes","Route de Saint Sébastien","02 40 44 44 44","http://www.tan.fr","https://twitter.com/taninfos?lang=fr","44200","[ 47.2001280449899 , -1.5333153503763]","Parc-relais en enclos accessible 24h/24 et 7j/7, avec contrôle d'accès de 6h à 22h du lundi au samedi. Mode d'emploi : stationnez votre véhicule et achetez votre titre de transport au distributeur en station de Tramway, Busway. A votre retour, la sortie est contrôlée par lecture du code-barres au dos de chaque titre de transport.","226","6","0","54","Pompe à vélo","OUI","OUI","Station Busway Ligne 4 ""Gréneraie""","Box vélo abrité et sécurisé, Vidéosurveillance, Interphonie sur la borne de sortie du parc.","","Titre de transport","TAN"
"3629","P+R busway Bourdonnières 1","Libre","Nantes","Rue des Bourdonnières","02 40 44 44 44","http://www.tan.fr","https://twitter.com/taninfos?lang=fr","44200","[ 47.1859635500303 , -1.52131942557198]","Parc-relais en enclos accessible 24h/24 et 7j/7, avec contrôle d'accès de 6h à 22h du lundi au samedi. Mode d'emploi : stationnez votre véhicule et achetez votre titre de transport au distributeur en station de Tramway, Busway. A votre retour, la sortie est contrôlée par lecture du code-barres au dos de chaque titre de transport.","232","6","0","30","","OUI","OUI","Station Busway Ligne 4 ""Bourdonnières""","Consignes vélos individuelles, Vidéosurveillance, Interphonie sur la borne de sortie du parc.","","Titre de transport","TAN"
"3630","P+R busway Chapeau Verni","Libre","St-Sébastien-sur-Loire","Route de Clisson","02 40 44 44 44","http://www.tan.fr","https://twitter.com/taninfos?lang=fr","44230","[ 47.189446877205896 , -1.5114930145423]","Parc-relais en enclos accessible 24h/24 et 7j/7, avec contrôle d'accès de 6h à 22h du lundi au samedi. Mode d'emploi : stationnez votre véhicule et achetez votre titre de transport au distributeur en station de Tramway, Busway. A votre retour, la sortie est contrôlée par lecture du code-barres au dos de chaque titre de transport.","46","2","0","10","","OUI","OUI","Station Busway Ligne 4 ""Chapeau Verni""","Vidéosurveillance, Interphonie sur la borne de sortie du parc.","","Titre de transport","TAN"
"3648","P+R TER Gare de Pont-Rousseau","Libre","Rezé","Avenue de la Libération","02 40 44 44 44","http://www.tan.fr","https://twitter.com/taninfos?lang=fr","44400","[ 47.1924900415202 , -1.54826376710538]","Parc-relais en enclos accessible 24h/24 et 7j/7, avec contrôle d'accès de 6h à 22h du lundi au samedi. Mode d'emploi : stationnez votre véhicule et achetez votre titre de transport au distributeur en station de Tramway, Busway. A votre retour, la sortie est contrôlée par lecture du code-barres au dos de chaque titre de transport.","165","6","0","20","Pompe à vélo","OUI","OUI","Station Tramway Ligne 2 ""Gare de Pont Rousseau"".Station Tramway Ligne 3 ""Pont Rousseau Martyrs""","Box vélo abrité et sécurisé, Vidéosurveillance, Interphonie sur la borne de sortie du parc.","","Titre de transport","TAN"
"3649","P+R tramway Bignon","Enclos","Orvault","Rue des Verts Prés","","http://www.nantesmetropole.fr/","","44700","[ 47.248963005997 , -1.59818138497753]","Parc-relais accessible 24h/24 et 7j/7 sans contrôle d'accès.","114","5","0","10","","OUI","OUI","Station Tramway Ligne 3 ""Bignon""","Stationnement vélo en consignes individuelles","","Libre","Nantes Métropole"
"3655","P+R busway Maraîchers","Enclos","Vertou","Rue de la Grand' Maison","","http://www.nantesmetropole.fr/","","44120","[ 47.1851584602666 , -1.51065644486834]","Parc-relais accessible 24h/24 et 7j/7 sans contrôle d'accès.","75","2","0","10","","OUI","OUI","Station Busway Ligne 4 ""Maraîchers""","Stationnement vélos en consignes individuelles","","Libre","Nantes Métropole"
"3776","P+R tramway Marcel Paul","Libre","St-Herblain","Boulevard Marcel Paul","02 40 44 44 44","http://www.tan.fr","https://twitter.com/taninfos?lang=fr","44800","[ 47.2458922742873 , -1.61798898568439]","Parc-relais en enclos accessible 24h/24 et 7j/7, avec contrôle d'accès de 6h à 22h du lundi au samedi. Mode d'emploi : stationnez votre véhicule et achetez votre titre de transport au distributeur en station de Tramway, Busway. A votre retour, la sortie est contrôlée par lecture du code-barres au dos de chaque titre de transport.","160","4","0","34","Pompe à vélo","OUI","OUI","Station Tramway Ligne 3 ""Marcel Paul""","Box vélo abrité et sécurisé, Vidéosurveillance, Interphonie sur la borne de sortie du parc.","","Titre de transport","TAN"
"3777","P+R tramway Grande Ouche","Enclos","Bouguenais","Rue de la Grande Ouche","","http://www.nantesmetropole.fr/","","44340","[ 47.181983772611595 , -1.5794522995813398]","Parc-relais accessible 24h/24 et 7j/7 sans contrôle d'accès.","33","2","0","18","Pompe à vélo","OUI","OUI","Station Tramway Ligne 3 ""Grande Ouche""","Stationnement vélos en consignes individuelles","","Libre","Nantes Métropole"
"3778","P+R busway Bourdonnières 2","Enclos","Nantes","Rue des Bourdonnières","","http://www.nantesmetropole.fr/","","44200","[ 47.186390819369 , -1.52296477224916]","Parc-relais accessible 24h/24 et 7j/7 sans contrôle d'accès.","96","2","0","0","","NON","NON","Station Busway Ligne 4 ""Bourdonnières""","","","Libre","Nantes Métropole"
"4076","P+R tramway Santos Dumont","Enclos","Nantes","Rue des Renards","","http://www.nantesmetropole.fr/","","44300","[ 47.259311420538005 , -1.5682093087778899]","Parc-relais accessible 24h/24 et 7j/7 sans contrôle d'accès.","33","1","0","12","","OUI","OUI","Tramway Ligne 2 Orvault Grand Val  Pont-Rousseau","","","Libre","Nantes Métropole"
"4100","P+R tramway Ranzay","Libre","Nantes","Route de Saint Joseph","02 40 44 44 44","https://www.tan.fr","https://twitter.com/taninfos?lang=fr","44300","[ 47.2543512892325 , -1.5331196357956198]","Parc-relais en enclos accessible 24h/24 et 7j/7, avec contrôle d'accès de 6h à 22h du lundi au samedi. Mode d'emploi : stationnez votre véhicule et achetez votre titre de transport au distributeur en station de Tramway, Busway. A votre retour, la sortie est contrôlée par lecture du code-barres au dos de chaque titre de transport.","245","5","0","48","","OUI","OUI","Station Tramway Ligne1 ""Ranzay""","VidéosurveillanceInterphonie sur la borne de sortie du parc.","","Titre de transport","TAN"
"4101","P+R tram-train Haluchère 1","Libre","Nantes","Rue du Ranzai","02 40 44 44 44","https://www.tan.fr","https://twitter.com/taninfos?lang=fr","44300","[ 47.248438523699804 , -1.52281428820915]","Parc-relais en enclos accessible 24h/24 et 7j/7, avec contrôle d'accès de 6h à 22h du lundi au samedi. Mode d'emploi : stationnez votre véhicule et achetez votre titre de transport au distributeur en station de Tramway, Busway. A votre retour, la sortie est contrôlée par lecture du code-barres au dos de chaque titre de transport.","124","3","0","48","Pompe à vélo","OUI","OUI","Ligne 1 Tramway  Ranzay/Beaujoire  François Mitterrand/JametLigne Tram-Train Nantes  ChateaubriandLigne Chronobus C1 Gare de Chantenay  Haluchère","","","Titre de transport","TAN"
"4309","P+R TER / chronobus Gare de Chantenay","Enclos","Nantes","Rue de la Gare de Chantenay","","http://www.nantesmetropole.fr/","","44100","[ 47.19752319562949 , -1.59461478997535]","Parc-relais accessible 24h/24 et 7j/7 sans contrôle d'accès.","28","0","0","18","Pompe à vélo","OUI","OUI","Station Chrnonobus C1 ""Gare de Chantenay","Stationnement vélo en consignes individuelles.","","Libre","Nantes Métropole"
"4310","P+R tramway Neustrie 3","Enclos","Bouguenais","Rue de la Neustrie","","http://www.nantesmetropole.fr/","","44340","[ 47.177334160959894 , -1.5916297598901599]","Parc-relais accessible 24h/24 et 7j/7 sans contrôle d'accès.","37","3","0","12","","OUI","OUI","Station Tramway Ligne 3 ""Neustrie""","","","Libre","Nantes Métropole"
"4311","P+R chronobus Chantrerie - Grandes Ecoles","Enclos","Nantes","Route de Gachet","","http://www.nantesmetropole.fr/","","44300","[ 47.281081732641 , -1.5184585498688]","Parc-relais accessible 24h/24 et 7j/7 sans contrôle d'accès.","268","6","0","24","Pompe à vélo","OUI","OUI","Station Chronobus C6 ""Chantrerie - Grandes Ecoles""","Abri vélos.","","Libre","Nantes Métropole"
"4312","P+R chronobus Planchonnais","Enclos","Ste-Luce-sur-Loire","Rue de la Planchonnais","","http://www.nantesmetropole.fr/","","44980","[ 47.253186121896796 , -1.4749583854085]","Parc-relais accessible 24h/24 et 7j/7 sans contrôle d'accès.","87","2","0","10","","OUI","OUI","Station Chronobus C7 ""La Planchonnais""","Consignes vélos individuelles","","Libre","Nantes Métropole"
"4313","P+R TER/chronobus La Noë","Enclos","Thouaré-sur-Loire","Rue des Ponts","","http://www.nantesmetropole.fr/","","44470","[ 47.266108986154 , -1.43900541592599]","Parc-relais accessible 24h/24 et 7j/7 sans contrôle d'accès.","67","2","0","0","","OUI","NON","Station Chronobus C7 ""Centre de Thouaré""Gare TER de Thouaré","","","Libre","Nantes Métropole"
"4314","P+R chronobus Pré Poulain","Enclos","Thouaré-sur-Loire","Rue de Beaulieu","","http://www.nantesmetropole.fr/","","44470","[ 47.27328234495929 , -1.4460300559583998]","Parc-relais accessible 24h/24 et 7j/7 sans contrôle d'accès.","82","2","0","0","","NON","NON","Station Chronobus C7 "" Pré Poulain""","","","Libre","Nantes Métropole"
"4340","P+R tram-train Babinière","Enclos","La Chapelle-sur-Erdre","Avenue de la Babinière","","http://www.nantesmetropole.fr/","","44240","[ 47.259584411022004 , -1.54620753743802]","Parc-relais accessible 24h/24 et 7j/7 sans contrôle d'accès.","103","3","0","48","Pompe à vélo","OUI","OUI","Ligne Tram-Train Nantes  Chateaubriant","Abris Vélo, Distributeur de titre de transport TER & TAN.","","Libre","Nantes Métropole"
"4342","P+R tram-train La Chapelle-sur-Erdre Centre Est","Enclos","La Chapelle-sur-Erdre","Rue de l'Erdre","","http://www.nantesmetropole.fr/","","44240","[ 47.297788710378896 , -1.54769926886454]","Parc-relais accessible 24h/24 et 7j/7 sans contrôle d'accès.","65","3","0","52","","OUI","OUI","Ligne Tram-Train Nantes  Chateaubriant","Abris Vélo, Distributeur de titre de transport TER & TAN.","","Libre","Nantes Métropole"
"4344","P+R tram-train La Chapelle-Aulnay Est","Enclos","La Chapelle-sur-Erdre","Avenue du Manoir","","http://www.nantesmetropole.fr/","","44240","[ 47.308375807264895 , -1.54103329771271]","Parc-relais accessible 24h/24 et 7j/7 sans contrôle d'accès.","46","2","0","40","","OUI","OUI","Ligne Tram-Train Nantes  Chateaubriant","Abris Vélo, Distributeur de titre de transport TER & TAN.","","Libre","Nantes Métropole"
"4346","P+R tram-train La Chapelle Erdre Active","Enclos","La Chapelle-sur-Erdre","Rue de la Bérangerais","","http://www.nantesmetropole.fr/","","44240","[ 47.2831021928346 , -1.54432747207035]","Parc-relais accessible 24h/24 et 7j/7 sans contrôle d'accès.","49","2","0","36","","OUI","OUI","Ligne Tram-Train Nantes  Chateaubriant","Abris Vélo, Distributeur de titre de transport TER & TAN.","","Libre","Nantes Métropole"
"4553","P+R tram-train La Chapelle-sur-Erdre Centre Ouest","Enclos","La Chapelle-sur-Erdre","Avenue de la Gare","","http://www.nantesmetropole.fr/","","44240","[ 47.2968633788219 , -1.5487513257974699]","Parc-relais accessible 24h/24 et 7j/7 sans contrôle d'accès.","44","1","0","0","","NON","NON","Ligne Tram-Train Nantes  Chateaubriant","Distributeur de titre de transport TER & TAN.","","libre","Nantes Métropole"
"4554","P+R tram-train La Chapelle-Aulnay Ouest","Enclos","La Chapelle-sur-Erdre","Avenue Olympe de Gouges","","http://www.nantesmetropole.fr/","","44240","[ 47.307917792624295 , -1.54366145413395]","Parc-relais accessible 24h/24 et 7j/7 sans contrôle d'accès.","103","2","0","0","","NON","NON","Ligne Tram-Train Nantes  Chateaubriant","Distributeur de titre de transport TER & TAN.","","Libre","Nantes Métropole"
"4555","P+R TER Gare de Basse-Indre Nord","Enclos","St-Herblain","Rue de la Gare","","http://www.nantesmetropole.fr/","","44800","[ 47.2043616781737 , -1.66056670182079]","Parc-relais accessible 24h/24 et 7j/7 sans contrôle d'accès.","48","1","0","10","","OUI","OUI","Gare TER de Basse-Indre - St-Herblain :Ligne Nantes-St Nazaire-Le Croisic,Ligne Nantes-Redon-Rennes","Distributeur de titre de transport TER & TAN, Consignes vélos individuelles.","","Libre","Nantes Métropole"
"4556","P+R chronobus Papillons","Enclos","Les Sorinières","Rue des Papillons","","http://www.nantesmetropole.fr/","","44840","[ 47.1470065379715 , -1.5185540574398]","Parc-relais accessible 24h/24 et 7j/7 sans contrôle d'accès.","57","2","0","8","","OUI","OUI","Chronobus C4 arrêt ""Calvaire""","Consignes vélos individuelles","","Libre","Nantes Métropole"
"4764","P+R tram-train Haluchère 2","Libre","Nantes","14 Rue du Ranzai","02 40 44 44 44","https://www.tan.fr","https://twitter.com/taninfos?lang=fr","44300","[ 47.2502181943446 , -1.52495829431403]","Parc-relais en enclos accessible 24h/24 et 7j/7, avec contrôle d'accès de 6h à 22h du lundi au samedi. Mode d'emploi : stationnez votre véhicule et achetez votre titre de transport au distributeur en station de Tramway, Busway. A votre retour, la sortie est contrôlée par lecture du code-barres au dos de chaque titre de transport.","152","4","0","0","","NON","NON","Ligne 1 Tramway  Ranzay/Beaujoire  François Mitterrand/JametLigne Tram-Train Nantes  ChateaubriandLigne Chronobus C1 Gare de Chantenay  Haluchère","","","Titre de transport","TAN"
"4765","P+R chronobus Bois des Anses","Libre","Nantes","Rue du Bois Briand","","http://www.nantesmetropole.fr/","","44300","[ 47.246892232196295 , -1.49493705892081]","Parc-relais accessible 24h/24 et 7j/7 sans contrôle d'accès.","89","2","0","20","","OUI","OUI","Ligne Chronobus C7 arrêt "" Bois des Anses ""","Consignes vélo individuelles.","","Libre","Nantes Métropole"
"4914","P+R Chronobus Prairie de Mauves","Enclos","Nantes","Boulevard de la Prairie de Mauves","","http://www.nantesmetropole.fr/","","44300","[ 47.2202445977433 , -1.5158340301667899]","Parc-relais accessible 24h/24 et 7j/7 sans contrôle d'accès.","204","5","0","6","","OUI","OUI","Ligne Chronobus C3 arrêt "" Prairie de Mauves ""","","","Libre","Nantes Métropole"
